step_loss_train,step_loss_validation
1.0669677701402218,1.1271442253338664
1.0653604560710015,1.1288383367814516
1.0667386815903035,1.138922349402779
1.0787169290772567,1.1303969574602026
1.0580458704461442,1.1084756772769124
1.0616960665012927,1.12619171173949
1.0557356569783907,1.1291981511994411
1.0740592631887882,1.108690277526253
1.056088258611395,1.1338138235242743
1.0549386604457882,1.131356673805337
1.0547903146304138,1.1298924276703282
1.0532040634053819,1.1148349956462258
1.051493581305159,1.1165139879051007
1.0472174532024572,1.12192870441236
1.0514439598042915,1.1212820567582782
1.0492952140510505,1.1198774591872567
1.048508403149057,1.1179703270134174
1.0487483706034668,1.1162077627683942
1.0488966479369088,1.1190084187608016
1.0503984131711595,1.1185656958504726
1.0479475466917592,1.1198293096140812
1.0501614246808044,1.1181378944924003
1.0485044789652453,1.1186512034190328
1.0484996848072565,1.117911906618821
1.0497876418397782,1.1158627334393953
1.049721395715754,1.1203163705374066
