step_loss_train,step_loss_validation
1.064086950475901,1.1179774643944913
1.0694197221646007,1.109478768755178
1.0600336185118682,1.1335567019024833
1.0653013296320404,1.1089729377480804
1.0473086555868807,1.1194248400750708
1.0538108893998073,1.117484866204809
1.0425932235805921,1.1139873250586088
1.038541994674105,1.1183987168015026
1.0326364039325377,1.1139731721799881
1.0263405000449906,1.116360140433077
1.0240692828427738,1.1110679919602442
1.0215646338085054,1.11435117389335
1.0177108426643928,1.1163185516341787
1.014998581995007,1.1140445697503012
1.014427786037116,1.111770854230787
1.0117266223254338,1.1216470861044086
1.0087112688892323,1.1108826041221618
1.0074490731660748,1.1089976144618676
1.0083009303665498,1.1080095607726301
1.0067140768531342,1.1086843875587964
1.0069173200869224,1.1094561518215742
1.0053290030591084,1.106533257296828
1.0071700351234054,1.108620313151938
1.0065514061757377,1.1080832088579897
1.0054630646088594,1.1047284358837566
1.0054886715198066,1.1053896178964708
1.0043663761880197,1.105671223460651
1.004765742209176,1.1070685439422483
1.004238383975667,1.1071222342428615
1.0052423601524092,1.1068481228390679
1.003580679513619,1.108596360292591
1.0041284416867813,1.1065729457823956
1.0048339171203928,1.1057330561465903
1.00440398451518,1.1097120591851533
1.0044922303460853,1.108995530448976
