step_loss_train,step_loss_validation
0.5003022320935844,0.6044874755085492
0.4584146600321565,0.606374243439221
0.43513552722534243,0.6137649699312742
0.4222568872345375,0.6051878397582007
0.41366079841858483,0.5980811207509432
0.4115958470247791,0.5793817715566666
0.3937657868922491,0.584443311222264
0.3929181996746067,0.5548999217690015
0.3858226924465681,0.557875109989135
0.37627539914888397,0.556261500276503
0.3732825939110677,0.5570568913807634
0.37095820220370945,0.5603900745266773
0.3706116643799862,0.5583431756887279
0.37037614778891,0.5433087767147627
0.3673994910942627,0.5676377999000862
0.3677778267104861,0.5411758904574347
0.365843429256388,0.5514050552102386
0.3654716870891796,0.5538526897059113
0.3649937968543718,0.545169631086412
0.3644331920577187,0.5449755711633651
0.3643025754439369,0.5456884438874292
0.3638665348055287,0.5491312584916099
0.36375618011126637,0.5444190300390369
0.36335269656871827,0.5480521741949144
0.3633985018856089,0.548934972579362
0.3629696452859002,0.5474354494302
0.36410999388604515,0.5472831809129871
0.3635318220042112,0.5458167417127578
0.3632311990327189,0.5538992469916578
0.36288505973635427,0.5498838670918199
0.3629040384114208,0.5518181721206571
0.3632904491321722,0.5475062871565585
0.36298316980148077,0.5535468848025212
0.3632401332495288,0.5534098620786041
0.363557970020133,0.5502624086669234
